Time, XRP(Price), Cash, Market Value, Shares,
40256, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40327, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40398, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40468, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40539, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40609, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40680, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40751, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40821, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40892, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
40962, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
41033, 0.18841608, 538.4905016558365, 636.18044086926, 3376.46575, 
77779, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77794, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77852, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77864, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77922, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77935, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
77993, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78006, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78064, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78078, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78135, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78152, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78218, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78222, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78288, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78293, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78359, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78368, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78430, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
78439, 0.18941806, 538.4905016558365, 639.563592021445, 3376.46575, 
